"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.35959282320099e-80,2.2425319893343,1,0.576,7.09654519760657e-76,"1","Cldn10"
4.12736099466752e-66,1.38962678232855,1,0.997,6.71851822711979e-62,"1","Laptm4a"
1.18962181594388e-65,1.65495389865806,0.995,0.599,1.93646639199344e-61,"1","Slc20a2"
9.12941240326402e-54,1.22273238620343,1,0.799,1.48608575100332e-49,"1","Atp1b3"
3.47026297309232e-50,1.40051633366884,0.979,0.599,5.64889406759968e-46,"1","Glul"
1.59304665501546e-46,1.87110455618434,0.995,0.77,2.59316134503417e-42,"1","Apoe"
3.63136877335453e-45,1.21169226758084,0.755,0.277,5.9111420892665e-41,"1","Nebl"
1.21053772196896e-44,1.24892447285311,0.911,0.529,1.97051330382108e-40,"1","Cfh"
2.76919790996329e-43,1.31295306064554,0.938,0.446,4.50770035783824e-39,"1","Trf"
7.92566210890803e-43,1.20168377080302,0.995,0.833,1.29013927808805e-38,"1","Dstn"
9.37512661436947e-43,1.34475394476113,0.911,0.553,1.52608311028706e-38,"1","Enpp2"
1.36073730034513e-42,1.24936384830645,0.656,0.211,2.2150081775018e-38,"1","Dmkn"
1.57537573680076e-42,1.27286180746183,0.995,0.663,2.56439662436427e-38,"1","Alpl"
4.43713621983381e-41,0.806616131680595,0.448,0.073,7.22277033864548e-37,"1","Sod3"
5.88675770847454e-38,1.14963244424483,0.745,0.318,9.58246419785486e-34,"1","Scin"
3.03969631016475e-37,0.928578069443246,0.599,0.185,4.94801765368619e-33,"1","Slc35g1"
2.55102067465567e-36,0.986511986809543,1,0.99,4.1525514542045e-32,"1","Ppic"
2.1520807239323e-34,0.930608795214969,0.984,0.819,3.50315700241699e-30,"1","Atp1a1"
6.30812040508128e-33,0.86526831775386,0.51,0.147,1.02683583953913e-28,"1","Ctnnd2"
3.43351601275301e-32,1.06154237542112,0.969,0.667,5.58907736555934e-28,"1","Id4"
5.13219053875097e-32,0.853072194743949,0.995,0.925,8.35417975897883e-28,"1","Map1lc3a"
6.92936062301504e-32,0.889027822843732,0.969,0.619,1.12796132221439e-27,"1","Msx2"
7.51610231985484e-32,0.723380364815527,1,0.996,1.22347113562597e-27,"1","Cd63"
3.9387131650742e-30,1.01337271944049,0.698,0.337,6.41143729010778e-26,"1","Enpp6"
8.91651921614686e-30,0.728245642221713,0.932,0.6,1.45143099800439e-25,"1","Txnip"
1.33193653811274e-29,0.872040861682936,1,0.826,2.16812629673992e-25,"1","Nudt4"
2.90988583822973e-29,0.815950743707654,1,0.939,4.73671216747036e-25,"1","Psap"
4.48660776103372e-29,0.811557376948605,1,0.985,7.3033001134107e-25,"1","Mrfap1"
6.38584713488922e-29,0.871822115435577,1,0.987,1.03948819661727e-24,"1","Lum"
2.54961870310602e-27,0.718757314930988,0.99,0.87,4.15026932491598e-23,"1","Ctsl"
5.45454790627618e-26,0.839653716384043,0.964,0.791,8.87891308183637e-22,"1","Gja1"
7.35363651092707e-26,1.10088544192699,0.776,0.534,1.19702495124871e-21,"1","Fbln1"
8.66003535303981e-26,0.788255585812497,0.833,0.55,1.40968055476782e-21,"1","Lgmn"
1.66411386709509e-25,0.875616113532222,0.552,0.204,2.70884455285738e-21,"1","Kcnk2"
3.77013849167812e-25,0.947117380217861,0.646,0.319,6.13703143675364e-21,"1","Fjx1"
4.39869660785108e-25,0.907611762852173,0.823,0.563,7.16019833825998e-21,"1","Chka"
1.25185424757506e-24,0.501069404074297,0.281,0.046,2.03776834420269e-20,"1","Notch3"
7.97518892345206e-24,0.493042107439094,0.312,0.061,1.29820125295953e-19,"1","Dll1"
1.07869294239115e-23,0.859428229342207,0.828,0.438,1.75589637162431e-19,"1","Fmod"
4.30850040596705e-23,0.805157046122296,0.885,0.549,7.01337696083316e-19,"1","Pcdh9"
2.28667578642538e-22,0.554535186974714,0.328,0.078,3.72225084514324e-18,"1","Prelp"
4.66417923957547e-22,0.795183479252153,0.849,0.632,7.59235096618094e-18,"1","Msx1"
9.70449942112053e-22,0.979900623659052,0.792,0.535,1.57969841577e-17,"1","Ifitm1"
2.44598294368557e-21,0.619677067733209,0.995,0.935,3.98157103573137e-17,"1","Fgfr1"
5.85493287530304e-21,0.727763348804353,0.401,0.126,9.5306597344183e-17,"1","Mgst1"
7.00365871992561e-21,0.614570792522041,0.297,0.068,1.14005556642949e-16,"1","Slitrk6"
2.72843309034896e-20,0.623430704501288,0.458,0.169,4.44134338447004e-16,"1","Cystm1"
5.17926923368573e-20,0.648152633138315,0.99,0.848,8.43081445859363e-16,"1","Ldhb"
6.15017443674829e-20,0.749479540319109,0.984,0.792,1.00112539481389e-15,"1","Tnc"
6.67719835754385e-20,0.589603206758751,0.995,0.727,1.08691434864099e-15,"1","Cebpb"
5.98559839169942e-19,0.514308723174315,1,0.958,9.74335706200831e-15,"1","Ndufa6"
7.85219144669999e-19,0.814126705538144,0.807,0.626,1.27817972369382e-14,"1","Nt5dc2"
9.21520061662549e-19,0.62589517758728,0.891,0.589,1.5000503563743e-14,"1","Gpx3"
1.35354601203708e-18,0.635588573791124,0.385,0.129,2.20330219839397e-14,"1","Gm41283"
1.90126607150309e-18,0.742569954861424,0.859,0.677,3.09488091119273e-14,"1","Nsg1"
3.57674118162624e-18,0.630970303666351,0.474,0.189,5.82221929545119e-14,"1","Gm41284"
3.65414215994878e-18,0.747675975473569,0.719,0.447,5.94821260796462e-14,"1","Tafa5"
3.90246452165488e-18,0.602332633528727,0.99,0.751,6.35243174834981e-14,"1","S100a1"
6.39833631355616e-18,0.799637008896767,0.615,0.355,1.04152118512067e-13,"1","Hey1"
8.26293926595691e-18,0.651093994609397,0.708,0.442,1.34504125371247e-13,"1","Dipk1a"
8.28320211444727e-18,0.489254230432766,0.339,0.101,1.34833964018973e-13,"1","Acss3"
8.81450095867673e-18,0.64816702021255,1,0.985,1.4348244660534e-13,"1","Clu"
9.87273129695168e-18,0.63878971387398,0.766,0.452,1.60708320051779e-13,"1","Irx5"
1.56945384796817e-17,0.427650846395228,1,0.997,2.55475697372259e-13,"1","Itm2b"
3.65139305090061e-17,0.626526173044179,0.979,0.857,5.94373760825601e-13,"1","Rsrp1"
5.97650510024121e-17,0.57508383483157,0.443,0.184,9.72855500217264e-13,"1","St8sia6"
6.71435606391063e-17,0.628002079319317,0.932,0.727,1.09296288008337e-12,"1","Rgs3"
1.66768208835585e-16,0.639284778316654,0.99,0.923,2.71465290342566e-12,"1","Anxa2"
2.09128732544007e-16,0.774849401931667,0.391,0.153,3.40419750835135e-12,"1","Cxadr"
2.77603857415418e-16,0.476890827772066,0.312,0.095,4.51883559100818e-12,"1","Pamr1"
4.34247021442556e-16,0.562867885121931,0.969,0.787,7.06867301504192e-12,"1","Prnp"
4.90292182230837e-16,0.520079198937173,0.979,0.742,7.98097614235357e-12,"1","Ppp1r2"
6.58134821997932e-16,0.615230860748133,0.464,0.211,1.07131186324823e-11,"1","Kit"
1.06955653746145e-15,0.656530554597783,0.766,0.557,1.74102413167975e-11,"1","Ypel3"
1.5443606896992e-15,0.576068579088089,0.323,0.105,2.51391033069235e-11,"1","Ngf"
2.22918934059306e-15,0.658784332346399,0.464,0.215,3.62867440861739e-11,"1","Cntfr"
3.25926288421742e-15,0.4740608295279,1,0.891,5.30542812292911e-11,"1","Dcn"
5.13272398621018e-15,0.674556804006779,0.719,0.536,8.35504810475293e-11,"1","Fbn1"
7.10392676307463e-15,0.670676850863496,0.526,0.284,1.15637719849329e-10,"1","Fam234a"
9.35492390393666e-15,0.559272488963304,0.911,0.756,1.52279451308281e-10,"1","Tmem50a"
1.50403882378729e-14,0.514026593910211,0.328,0.116,2.44827439736095e-10,"1","Fam13a"
1.67653168560472e-14,0.579583905578969,0.776,0.563,2.72905827782737e-10,"1","Serinc3"
1.75907738376671e-14,0.48779528500004,0.995,0.787,2.86342616529545e-10,"1","Kctd12"
